product_id;product_name;category;price_usd;stock_quantity;discount_pct;supplier;status
2001;LAPTOP PRO 15;Electronics;1200;45;10;TechDist;ACTIVE
2002;mouse inalámbric;electronics;25.5;120;0;LogiSupplies;active
2003;MONITOR 4K 27;Electronics;-450;15;5;ScreenCorp;ACTIVE
2004;Teclado Mecánic;ELECTRONICS;89.99;0;15;KeyWorks;active
2005;SILLA ERGONÓMIC;Furniture;250;25;20;ComfortInd;ACTIVE
2006;escritorio de madera;furniture;180;10;0;WoodCraft;discontinued
2007;LÁMPARA LE;Furniture;35;85;150;LightStyle;ACTIVE
2008;Audífonos Bluetoot;Electronics;75;60;10;SoundAudio;ACTIVE
2009;CAFETERA EXPRESSO;Appliances;199.99;8;12.5;HomeApp;active
2010;licuadora de mano;appliances;45;40;0;KitchenPro;ACTIVE
2011;MICROONDAS DIGITAL;Appliances;120;-5;5;HomeApp;ACTIVE
2001;LAPTOP PRO 15;Electronics;1200;45;10;TechDist;ACTIVE
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"""2012""";Aspiradora Robot;Appliances;299;18;8;CleanHome;active
2013;VENTILADOR TORRE;Appliances;60;50;0;AirCool;ACTIVE
2014;Smart TV 55;Electronics;550;14;25;VisionCorp;ACTIVE
2015;SOPORTE DE PARED;Electronics;19.99;200;0;VisionCorp;ACTIVE
2016;IMPRESORA LASER;Electronics;210;12;10;PrintLine;ACTIVE
2017;Disco Duro Externo;Electronics;85;95;0;StorageMax;ACTIVE
2018;Memoria USB 64GB;Electronics;12.5;500;50;StorageMax;active
2019;ARCHIVADOR METÁLIC;Furniture;95;30;0;OfficeMod;ACTIVE
2020;Estante de Libros;Furniture;140;7;15;WoodCraft;ACTIVE
2021;REFRIGERADORA NO FROST;Appliances;850;4;10;ColdTech;ACTIVE
2022;Cocina a Gas 4H;Appliances;380;11;0;KitchenPro;ACTIVE
2023;TOSTADORA DE PAN;Appliances;28;35;5;HomeApp;active
2024;HORNO ELÉCTRIC;Appliances;150;9;10;ColdTech;ACTIVE
2025;batidora de pedestal;appliances;115;14;0;KitchenPro;active
2026;PARLANTE SMART;Electronics;49.99;40;15;SoundAudio;ACTIVE
2027;Cámara de Segurida;Electronics;80;22;20;TechDist;ACTIVE
2028;ROUTER WI-FI 6;Electronics;130;0;0;LogiSupplies;active
2029;Repisa Flotante;Furniture;25;65;5;OfficeMod;ACTIVE
2030;ESCRITORIO EN L;Furniture;299.99;6;10;WoodCraft;ACTIVE
2031;Silla de Escritorio;Furniture;110;18;0;ComfortInd;active
2032;AUDÍFONOS GAME;Electronics;65;28;12;SoundAudio;ACTIVE
2033;Teclado Inalámbric;Electronics;45;50;0;LogiSupplies;ACTIVE
2034;PAD MOUSE RGB;Electronics;15.5;120;5;KeyWorks;active
2035;DISCO DURO SSD;Electronics;105;-2;0;StorageMax;ACTIVE
2036;Cargador Portáti;Electronics;29.99;80;10;TechDist;ACTIVE
2037;VENTILADOR DE PIE;Appliances;42;45;0;AirCool;active
2038;Exprimidor de Cítrico;Appliances;35;25;15;KitchenPro;ACTIVE
2039;HERVIDOR ELÉCTRIC;Appliances;24.99;70;0;HomeApp;ACTIVE
2040;Plancha a Vapor;Appliances;39;33;8;HomeApp;active
2041;MESA DE CENTRO;Furniture;85;12;0;WoodCraft;ACTIVE
2042;Mueble de TV;Furniture;210;5;20;OfficeMod;ACTIVE
2027;Cámara de Segurida;Electronics;80;22;20;TechDist;ACTIVE
"""2043""";Plancha de Cabello;Appliances;45;19;0;CleanHome;active
2044;WAFLERA DOBLE;Appliances;55;15;5;KitchenPro;ACTIVE
